timestamp,open,high,low,close,volume
2024-01-02T14:30:00+00:00,100,101,99,100.5,1000
2024-01-02T14:31:00+00:00,101,102,100,101.5,1000
2024-01-02T14:32:00+00:00,102,103,101,102.5,1000
2024-01-02T14:33:00+00:00,103,104,102,103.5,1000
2024-01-02T14:34:00+00:00,104,105,103,104.5,1000
2024-01-02T14:35:00+00:00,105,106,104,105.5,1000
2024-01-02T14:36:00+00:00,106,107,105,106.5,1000
2024-01-02T14:37:00+00:00,107,108,106,107.5,1000
2024-01-02T14:38:00+00:00,108,109,107,108.5,1000
2024-01-02T14:39:00+00:00,109,110,108,109.5,1000
2024-01-02T14:40:00+00:00,110,111,109,110.5,1000
2024-01-02T14:41:00+00:00,111,112,110,111.5,1000
